id_pais,id_isla,isla,id_provincia,provincia_header,gid_isla
ES,07071,Formentera,07,Illes Balears,ES-07071
ES,07072,Ibiza,07,Illes Balears,ES-07072
ES,07073,Mallorca,07,Illes Balears,ES-07073
ES,07074,Menorca,07,Illes Balears,ES-07074
ES,35351,Fuerteventura,35,Las Palmas,ES-35351
ES,35352,Gran Canaria,35,Las Palmas,ES-35352
ES,35353,Lanzarote,35,Las Palmas,ES-35353
ES,38381,"Gomera, La ",38,Santa Cruz de Tenerife,ES-38381
ES,38382,"Hierro, El ",38,Santa Cruz de Tenerife,ES-38382
ES,38383,"Palma, La ",38,Santa Cruz de Tenerife,ES-38383
ES,38384,Tenerife,38,Santa Cruz de Tenerife,ES-38384
